log_id,source_node,target_node,edge_type,label
659,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
660,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
661,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
662,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
663,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
664,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
665,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-36,GetParameter,0
666,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
667,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-24,GetParameter,0
668,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-36,PutParameter,0
669,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
