log_id,source_node,target_node,edge_type,label
917,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-8107c9c0,DescribeInstanceAttribute,0
918,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-f2a41e93,DescribeInstanceAttribute,0
919,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-34d324a6,DescribeInstanceAttribute,0
920,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-0c40acb1,DescribeInstanceAttribute,0
921,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-7a1dfe61,DescribeInstanceAttribute,0
922,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-dc4c8f63,DescribeInstanceAttribute,0
923,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-7d8e8548,DescribeInstanceAttribute,0
924,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-0a34046d,DescribeInstanceAttribute,0
925,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-867d08fc,DescribeInstanceAttribute,0
926,arn:aws:sts::123837392027:assumed-role/stratus-red-team-get-usr-data-role/aws-go-sdk-1688990565286187801,i-65903502,DescribeInstanceAttribute,0
927,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeAccountAttributes,0
928,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
929,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeImages,0
930,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeAvailabilityZones,0
931,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
932,arn:aws:iam::123837392027:user/bert-jan,vpc,AllocateAddress,0
933,arn:aws:iam::123837392027:user/bert-jan,10.0.0.0/16,CreateVpc,0
934,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ec2-enumerate-role,GetRole,0
