log_id,username,timestamp,no_mfa,mfa_absent,principal_type_prior_risk,principal_type_idx,has_access_key,action_velocity,is_new_action,session_duration_normalized,events_per_minute_normalized,time_sin,time_cos,is_weekend,is_off_hours,action_risk_prior,event_name_idx,event_source_idx,is_write_action,read_only_absent,has_error,is_access_denied,is_iam_event,is_recon_action,is_defense_evasion,is_get_caller_identity,is_malicious_user_agent,is_public_ip,params_length_normalized,targets_sensitive_resource,is_non_default_region,is_create_key,is_secrets_or_kms,is_permission_modification,policy_statement_count_normalized,has_wildcard_action,has_wildcard_resource,privileged_action_reach,label
invictus_enriched.csv:199,AWSServiceRoleForAmazonInspector2,2023-07-10 11:55:24+00:00,1,0,0.5,3,0,0.0,1,0.0,0.1,0.258819045102521,-0.9659258262890682,0,0,0.2,63,3,0,0,0,0,0,1,0,0,0,1,0.2613333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:1011,AWSServiceRoleForAmazonInspector2,2023-07-10 12:04:10+00:00,1,0,0.5,3,0,0.0,1,0.0,0.1,1.2246467991473532e-16,-1.0,0,0,0.2,63,3,0,0,0,0,0,1,0,0,0,1,0.2613333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2239,AWSServiceRoleForRDS,2023-07-10 12:15:59+00:00,1,0,0.5,3,0,0.0,1,0.0,0.1,1.2246467991473532e-16,-1.0,0,0,0.1,37,3,0,0,0,0,0,1,0,0,0,1,0.10133333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2243,AWSServiceRoleForRDS,2023-07-10 12:16:14+00:00,1,0,0.5,3,0,0.9958333333333333,1,0.004166666666666667,0.8,1.2246467991473532e-16,-1.0,0,0,0.1,53,3,0,0,0,0,0,1,0,0,0,1,0.11333333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2246,AWSServiceRoleForRDS,2023-07-10 12:16:15+00:00,1,0,0.5,3,0,0.9997222222222222,1,0.0044444444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,56,3,1,0,0,0,0,0,0,0,0,1,0.292,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2895,AWSServiceRoleForRDS,2023-07-10 12:32:01+00:00,1,0,0.5,3,0,0.7372222222222222,1,0.26722222222222225,0.024948024948024946,1.2246467991473532e-16,-1.0,0,0,0.1,150,3,1,0,0,0,0,0,0,0,0,1,0.06266666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:0,benjamin,2023-07-10 11:42:18+00:00,0,1,0.8,2,1,0.0,1,0.0,0.1,0.258819045102521,-0.9659258262890682,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0,0,0.037333333333333336,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:1,benjamin,2023-07-10 11:42:23+00:00,0,1,0.8,2,1,0.9986111111111111,1,0.001388888888888889,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,2,4,0,0,0,0,0,1,0,0,0,0,0.22133333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2,benjamin,2023-07-10 11:42:23+00:00,0,1,0.8,2,1,1.0,1,0.001388888888888889,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,3,4,0,0,0,0,0,1,0,0,0,0,0.22,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:3,benjamin,2023-07-10 11:42:24+00:00,0,1,0.8,2,1,0.9997222222222222,1,0.0016666666666666668,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,4,4,0,0,0,0,0,1,0,0,0,0,0.216,0,0,0,0,0,0.0,0,0,0.0,0
