epoch,train_loss,lr,train_auc_pr,val_auc_pr,val_inv_auc_pr,select_score,val_accuracy,val_auc_roc,val_f1,val_precision,val_recall,val_threshold,val_n,val_n_pos
1,0.9509708649233768,0.0008,0.988678236180179,0.9549041232286529,,0.8011527377521613,0.9456692913385827,0.9926423426090388,0.8011527377521613,0.6847290640394089,0.9652777777777778,0.5,1270,144
2,0.547090271585866,0.0008,0.9965819417225318,0.9818886058478263,,0.9252669039145908,0.9834645669291339,0.997335701598579,0.9252669039145908,0.948905109489051,0.9027777777777778,0.5,1270,144
3,0.4947205763114126,0.0008,0.9982213293248294,0.9895913534559033,,0.9455782312925171,0.9874015748031496,0.9984273238602723,0.9455782312925171,0.9266666666666666,0.9652777777777778,0.5,1270,144
4,0.48640956627695187,0.0008,0.997989220088478,0.9862045658467795,,0.8769716088328076,0.9692913385826771,0.9977982534043812,0.8769716088328076,0.8034682080924855,0.9652777777777778,0.5,1270,144
5,0.4752841751826437,0.0008,0.9989848753644495,0.9912157617471886,,0.9423728813559322,0.9866141732283464,0.9986246792974146,0.9423728813559322,0.9205298013245033,0.9652777777777778,0.5,1270,144
6,0.45913466466100594,0.0008,0.9979754554098664,0.9872132286875462,,0.9180327868852459,0.9803149606299213,0.9980511150582199,0.9180327868852459,0.8695652173913043,0.9722222222222222,0.5,1270,144
7,0.4603001321616926,0.0008,0.9991039190930484,0.9902750543783108,,0.9423728813559322,0.9866141732283464,0.9985815077955398,0.9423728813559322,0.9205298013245033,0.9652777777777778,0.5,1270,144
8,0.4522215805555645,0.0004,0.9995708563670533,0.9930970057303431,,0.9452054794520548,0.9874015748031496,0.9989392145253602,0.9452054794520548,0.9324324324324325,0.9583333333333334,0.5,1270,144
9,0.4507335364818573,0.0004,0.9995837711840968,0.9933986728228292,,0.9484536082474226,0.9881889763779528,0.9990070554568778,0.9484536082474226,0.9387755102040817,0.9583333333333334,0.5,1270,144
10,0.4496887777981005,0.0004,0.9998514155492739,0.9954693038299343,,0.9652777777777778,0.9921259842519685,0.9993215906848233,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.5,1270,144
11,0.44857776008154215,0.0004,0.9996994852914876,0.9933912005031832,,0.9448275862068966,0.9874015748031496,0.9989885533846458,0.9448275862068966,0.9383561643835616,0.9513888888888888,0.5,1270,144
12,0.4497283778692547,0.0004,0.9997512179146094,0.995014705892252,,0.9547038327526133,0.989763779527559,0.9992537497533057,0.9547038327526133,0.958041958041958,0.9513888888888888,0.5,1270,144
13,0.4465145813791375,0.0004,0.9998481448123357,0.9953766170863447,,0.965034965034965,0.9921259842519685,0.9993030886125913,0.965034965034965,0.971830985915493,0.9583333333333334,0.5,1270,144
14,0.44502084757152355,0.0004,0.9998385216904615,0.9962647770634351,,0.9681978798586572,0.9929133858267717,0.9994449378330373,0.9681978798586572,0.9856115107913669,0.9513888888888888,0.5,1270,144
15,0.43963667656245986,0.0004,0.9998421899496448,0.9964640474761423,,0.9790209790209791,0.9952755905511811,0.9994634399052694,0.9790209790209791,0.9859154929577465,0.9722222222222222,0.5,1270,144
16,0.44241701709596737,0.0004,0.9998654829163304,0.9955358515411152,,0.9655172413793104,0.9921259842519685,0.9993215906848233,0.9655172413793104,0.958904109589041,0.9722222222222222,0.5,1270,144
17,0.4429933748747173,0.0004,0.9998946926234119,0.995596008858794,,0.9652777777777778,0.9921259842519685,0.9993400927570555,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.5,1270,144
18,0.44504093810131673,0.0004,0.999904160305228,0.9976059280147345,,0.9791666666666666,0.9952755905511811,0.999654627985001,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.5,1270,144
19,0.443890307765258,0.0004,0.9999432116023065,0.996797223814382,,0.972027972027972,0.9937007874015747,0.9995374481941978,0.972027972027972,0.9788732394366197,0.9652777777777778,0.5,1270,144
20,0.44081123063438815,0.0004,0.9998956764140672,0.995961654833799,,0.9517241379310345,0.988976377952756,0.9994202684033946,0.9517241379310345,0.9452054794520548,0.9583333333333334,0.5,1270,144
