epoch,train_loss,lr,train_auc_pr,val_auc_pr,val_inv_auc_pr,select_score,val_accuracy,val_auc_roc,val_f1,val_precision,val_recall,val_threshold,val_n,val_n_pos
1,0.9395090009855187,0.0008,0.98800406523172,0.9715140965738441,0.9999999999999998,0.9095890410958904,0.9748283752860412,0.996766029246344,0.9095890410958904,0.8426395939086294,0.9880952380952381,0.5,1311,168
2,0.5403245449066162,0.0008,0.9987917577738296,0.990621425007741,0.9999999999999998,0.96,0.9893211289092296,0.998734533183352,0.96,0.9230769230769231,1.0,0.5,1311,168
3,0.5067019980886708,0.0008,0.9993225464049542,0.9888154360061642,0.9999999999999998,0.9464788732394366,0.9855072463768116,0.9984168645585969,0.9464788732394366,0.8983957219251337,1.0,0.5,1311,168
4,0.49139305353164675,0.0008,0.9997153206819974,0.9954130861520496,0.9999999999999998,0.972972972972973,0.9931350114416476,0.9993907011623547,0.972972972972973,0.9818181818181818,0.9642857142857143,0.5,1311,168
5,0.488374323171118,0.0008,0.9998131601149793,0.9975914239253055,0.9999999999999998,0.9793510324483776,0.9946605644546148,0.9996719160104987,0.9793510324483776,0.9707602339181286,0.9880952380952381,0.5,1311,168
6,0.476639593684155,0.0008,0.9999009387520106,0.9972615098178658,0.9999999999999998,0.9736070381231672,0.9931350114416476,0.9996042161396492,0.9736070381231672,0.9595375722543352,0.9880952380952381,0.5,1311,168
7,0.4727779932644056,0.0008,0.9999271975155134,0.996018723462401,0.9999999999999998,0.9881656804733728,0.9969488939740656,0.9994636087155773,0.9881656804733728,0.9823529411764705,0.9940476190476191,0.5,1311,168
8,0.47306291901546976,0.0008,0.9999862441059816,0.9999299719887954,0.9999999999999998,0.9970149253731343,0.9992372234935164,0.999989584635254,0.9970149253731343,1.0,0.9940476190476191,0.5,1311,168
9,0.47026145898777505,0.0008,0.999932003689728,0.9952297762526776,0.9999999999999998,0.9853372434017595,0.996186117467582,0.9993438320209974,0.9853372434017595,0.9710982658959537,1.0,0.5,1311,168
10,0.4664110665735991,0.0008,0.9999590911853331,0.99951037947044,0.9999999999999998,0.9852507374631269,0.996186117467582,0.9999270924467775,0.9852507374631269,0.9766081871345029,0.9940476190476191,0.5,1311,168
11,0.4656336963176727,0.0008,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1311,168
12,0.4627041272495104,0.0008,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1311,168
13,0.46522555999133897,0.0008,0.9999954245136258,0.9995307880362232,0.9999999999999998,0.9940828402366864,0.9984744469870328,0.9999323001291505,0.9940828402366864,0.9882352941176471,1.0,0.5,1311,168
14,0.4649289333302042,0.0008,0.9999954245136258,0.9999999999999999,0.9999999999999998,0.9940119760479041,0.9984744469870328,1.0,0.9940119760479041,1.0,0.9880952380952381,0.5,1311,168
15,0.46118763115095057,0.0008,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1311,168
16,0.4569796834302985,0.0004,1.0,0.9999647788109325,0.9999999999999998,0.9940476190476191,0.9984744469870328,0.9999947923176269,0.9940476190476191,0.9940476190476191,0.9940476190476191,0.5,1311,168
17,0.4590212726074716,0.0004,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1311,168
